ncm,regime,percentual_reducao,vigente_de
01069000,ANEXO_IX_60,60,2027-01-01
04011010,ANEXO_I_ZERO,100,2027-01-01
04011090,ANEXO_I_ZERO,100,2027-01-01
04012010,ANEXO_I_ZERO,100,2027-01-01
04012090,ANEXO_I_ZERO,100,2027-01-01
04014010,ANEXO_I_ZERO,100,2027-01-01
04015010,ANEXO_I_ZERO,100,2027-01-01
04021010,ANEXO_I_ZERO,100,2027-01-01
04021090,ANEXO_I_ZERO,100,2027-01-01
04022110,ANEXO_I_ZERO,100,2027-01-01
04022120,ANEXO_I_ZERO,100,2027-01-01
04022910,ANEXO_I_ZERO,100,2027-01-01
04022920,ANEXO_I_ZERO,100,2027-01-01
04032000,ANEXO_VII_60,60,2027-01-01
04039000,ANEXO_VII_60,60,2027-01-01
04051000,ANEXO_I_ZERO,100,2027-01-01
04061010,ANEXO_I_ZERO,100,2027-01-01
04061090,ANEXO_I_ZERO,100,2027-01-01
04062000,ANEXO_I_ZERO,100,2027-01-01
04069010,ANEXO_I_ZERO,100,2027-01-01
04069020,ANEXO_I_ZERO,100,2027-01-01
04069030,ANEXO_I_ZERO,100,2027-01-01
04071,ANEXO_IX_60,60,2027-01-01
04072,ANEXO_XV_ZERO,100,2027-01-01
04090000,ANEXO_VII_60,60,2027-01-01
07133319,ANEXO_I_ZERO,100,2027-01-01
07133329,ANEXO_I_ZERO,100,2027-01-01
07133399,ANEXO_I_ZERO,100,2027-01-01
07133590,ANEXO_I_ZERO,100,2027-01-01
0714,ANEXO_XV_ZERO,100,2027-01-01
08011,ANEXO_XV_ZERO,100,2027-01-01
0803,ANEXO_XV_ZERO,100,2027-01-01
0804,ANEXO_XV_ZERO,100,2027-01-01
0805,ANEXO_XV_ZERO,100,2027-01-01
0806,ANEXO_XV_ZERO,100,2027-01-01
0807,ANEXO_XV_ZERO,100,2027-01-01
0808,ANEXO_XV_ZERO,100,2027-01-01
0809,ANEXO_XV_ZERO,100,2027-01-01
0810,ANEXO_XV_ZERO,100,2027-01-01
0811,ANEXO_XV_ZERO,100,2027-01-01
0901,ANEXO_I_ZERO,100,2027-01-01
0903,ANEXO_I_ZERO,100,2027-01-01
100620,ANEXO_I_ZERO,100,2027-01-01
100630,ANEXO_I_ZERO,100,2027-01-01
10064000,ANEXO_I_ZERO,100,2027-01-01
11010010,ANEXO_I_ZERO,100,2027-01-01
11022000,ANEXO_I_ZERO,100,2027-01-01
11029000,ANEXO_I_ZERO,100,2027-01-01
11031300,ANEXO_I_ZERO,100,2027-01-01
11041200,ANEXO_I_ZERO,100,2027-01-01
11041900,ANEXO_I_ZERO,100,2027-01-01
